연번,지정일자,업종,업소명,업주명,구군,주소,연락처,대표메뉴1,대표메뉴2,대표메뉴1 가격,대표메뉴2 가격,변동사항,비 고
1,1905-07,이미용업,현대이용소,이수길,중구,동덕로36길 60,053-423-1473,컷트일반,,8000,,변동없음,
2,1905-07,한식,춘사김밥,이춘자,중구,중앙대로 282,053-423-7827,참치김밥,,1200,,변동없음,
3,1905-07,이미용업,영생이용소,김상국,중구,이천로 184-8,053-425-9732,커트,,8000,,변동없음,
4,1905-07,한식,마산설렁탕,조웅제,중구,경상감영1길 41,053-254-4317,설렁탕,,9000,,변동없음,
5,1905-07,중식,용궁각,김희경,중구,경상감영길 117-7,053-255-7200,자장면,,3500,,변동없음,
6,1905-07,중식,중해반점,우려원,중구,명륜로 63,053-255-8555,자장면,,4000,,변동없음,
7,1905-07,중식,만리향반점,전은숙,중구,명덕로35길 112,053-255-9380,자장면,,4000,,변동없음,
8,1905-07,이미용업,은혜이용소,성기환,중구,명륜로 97,053-427-2021,학생커트,,7000,,변동없음,
9,1905-07,한식,와촌손칼국시,이동훈,중구,관덕정길 17-3,053-252-5712,손칼국수,,5000,,변동없음,
10,1905-07,한식,찌개랑 백반,김영숙,중구,달구벌대로 지하 2160,053-254-2555,정식,,4000,,변동없음,
11,1905-07,한식,한우장,김여옥,중구,국채보상로 567,053-257-1125,설렁탕,,8000,,변동없음,
12,1905-07,한식,단아정,권기화,중구,동덕로 177,053-256-9292,삼계탕,,10000,,변동없음,
13,1905-07,한식,엄마손칼국수,정현권,중구,공평로20길 11-4,053-422-3638,칼국수,,5000,,변동없음,
14,1905-07,한식,대영숯불갈비,이인자,중구,공평로20길 51-19,053-424-2228,돼지찌개,,6000,,변동없음,
15,1905-07,한식,옛날국수,공희영,중구,중앙대로 439,053-256-1221,잔치국수,,2000,,변동없음,
16,1905-07,중식,장성루,장경숙,중구,국채보상로139길 10,053-425-4303,짬뽕,,4500,,변동없음,
17,1905-07,한식,누렁소식당,김희철,중구,국채보상로131길 24,053-422-8327,삼겹살,,8000,,변동없음,
18,1905-07,한식,명가,정경옥,중구,달구벌대로 지하 2100(106),053-252-9743,비빔밥,,4500,,변동없음,
19,1905-07,한식,우리할매칼국수,신현순,중구,남산로7길 44,053-255-8802,칼국수,,3500,,변동없음,
20,1905-07,중식,만리궁성,김일주,중구,남산로4길 62,053-257-6166,짜장면,,4000,,변동없음,
21,1905-07,한식,특별한돼지국밥,황미량,중구,국채보상로140길 35,053-425-5243,돼지국밥,,6000,,변동없음,
22,1905-07,한식,일석이조,정미영,중구,재마루길 19,053-254-8880,주물럭,,7000,,변동없음,
23,1905-07,분식,제일분식,이귀옥,중구,남산로2길 26,053-256-6630,김밥,,1500,,변동없음,
24,1905-07,이미용업,정안이용소,문동식,중구,공평로 71,053-424-3974,이발,,4000,,변동없음,
25,1905-07,한식,장터국수,김진형,중구,경상감영1길 13,053-253-0766,칼국수,,4000,,변동없음,
26,1905-07,중식,낙동강반점,김명순,중구,서성로14길 115,053-252-7866,짜장면,,3000,,변동없음,
27,1905-07,한식,문경닭곰탕,김옥,중구,경상감영길 117-7,053-431-9998,닭곰탕,,5000,,변동없음,
28,1905-07,한식,장셰프한식전통중화요리,권숙자,중구,경상감영길 117-7,053-214-0706,짜장면,,3000,,변동없음,
29,1905-07,한식,한양뚝배기감자탕,박영희,중구,국채보상로 140길 28,053-424-7161,갈비탕,,7000,,변동없음,
30,1905-07,중식,천선루,김정훈,중구,대봉로 261-1,053-422-4222,짜장면,,4000,,변동없음,
31,1905-07,한식,마늘칼국수,권정분,중구,공평로20길 5-6,053-425-0584,칼국수,,5000,,변동없음,
32,2011-11,한식,고두밭숯불촌,우병길,동구,큰고개로 24(신암동),053-956-1442,돼지갈비 (미국산) 200g,,6000,,변동없음,
33,2011-11,한식,대구삼계탕,이영자,동구,대현로 118-7(신암동),053-955-7848,삼계탕,,10000,,변동없음,
34,2011-11,한식,두곡동숯불갈비,김복태,동구,아양로49길 6(신암동),053-942-8495,돼지왕갈비(국내산)200g,,8000,,변동없음,
35,2011-11,중식,영남루반점,김경숙,동구,해동로 18(지저동),053-981-9881,자장면,,3000,,변동없음,
36,2011-11,한식,유정갈비,서정오,동구,아양로 6(신암동),053-943-6616,왕갈비(국내산)200g,,7000,,변동없음,
37,2011-11,한식,태종대,전태연,동구,팔공로24길 19-10(불로동),053-983-3477,삼겹살(국내산)140g,,7000,,변동없음,
38,2011-11,한식,팔공식당,김영순,동구,송라로32길 5(신암동),053-941-1289,돌솥비빔밭,,6000,,변동없음,
39,2011-11,한식,흥부고을숯불갈비,신승탁,동구,동촌로 80-14(검사동),053-986-0092,"돼지갈비(독일,칠레산)250g",,7000,,변동없음,
40,2012-06,한식,고향손칼국수,이명희,동구,장등로 35(신천동),053-752-8894,잔치국수,,5000,,변동없음,
41,2012-06,세탁업,무한세탁소,방명희,동구,동호로2길 3(동호동),053-961-8250,정장1벌,,6000,,변동없음,
42,2012-06,한식,미진손칼국수,정유나,동구,아양로50길 119-1(효목동),053-941-4664,손칼국수,,5000,,변동없음,
43,2012-06,한식,이가숯불갈비,김영숙,동구,아양로 37-4(신암동),053-958-7353,"돼지갈비(국내산,미국산)200g",,6000,,변동없음,
44,2012-06,한식,이고집숯불촌,정소영,동구,동촌로 380(용계동),053-985-2393,목전지양념구이(미국산)180g,,5000,,변동없음,
45,2012-06,한식,장터불고기,박태자,동구,동대구로 570(신암동),053-958-3000,된장찌개,,5000,,변동없음,
46,2012-06,한식,큰집삼계탕,김덕규,동구,효목로1길 21(효목동),053-743-1532,들깨삼계탕,,12000,,변동없음,
47,2012-06,한식,통큰갈비,손정옥,동구,해동로 169(검사동),053-982-1080,생삼겹살(국내산)130g,,7000,,변동없음,
48,2013-05,한식,강변복어,황복순,동구,호반길67(방촌동),053-982-7252,복어탕,,7000,,변동없음,
49,2013-05,한식,거송복어,황현옥,동구,동촌로 263(방촌동),053-984-6755,복매운탕,,8000,,변동없음,
50,2013-05,한식,광명한우식육식당,배규호,동구,아양로34길 18(신암동),053-953-9433,삼겹살(국내산)120g,,7000,,변동없음,
51,2013-05,한식,다모아식당,이옥수,동구,파계로 54(지묘동),053-986-2929,해물칼국수,,4000,,변동없음,
52,2013-05,한식,방촌식육식당,이치난,동구,해동로 244-1(검사동),053-981-5511,돼지찌개,,6000,,변동없음,
53,2013-05,한식,시장냉면,김경희,동구,팔공로30길 10-3(불로동),053-981-4044,얼큰냉면,,5000,,변동없음,
54,2013-05,일식,정동진,최미영,동구,동촌로 31(입석동),053-982-0890,회덮밥,,10000,,변동없음,
55,2013-12,한식,대청봉,김종원,동구,아양로 206-1(효목동),053-941-6540,삼계탕,,10000,,변동없음,
56,2013-12,한식,청도추어탕,곽철순,동구,아양로 37길 7(신암동),053-959-9964,추어탕,,7000,,변동없음,
57,2013-12,한식,희망나눔장수 잔치국수,최현정,동구,동부로 32길 128(신천동),053-269-8045,잔치국수,,4000,,변동없음,
58,2014-09,한식,소반,엄복영,동구,장등로 85-1(신천동),053-752-1269,정식,,5500,,변동없음,
59,2018-07,한식,면사랑칼국수,김규태,동구,"효동로 126, 2층(효목동)",053-954-2001,칼국수,,6000,,변동없음,
60,2019-11,미용업,헐리우드 헤어,이정숙,동구,동부로 162(신천동),,헤어컷(남성),,4000,,변동없음,
61,2019-11,한식,부산복해물칼국수,신무성,동구,팔공로28길 8-10(불로동),053-959-2830,복어탕,,7000,,변동없음,
62,1905-07,한식,금성숯불식당,김진철,서구,팔달로186-1,053-354-8216,불고기,,10000,,변동없음,
63,1905-07,이미용업,혜인미용실,배덕순,서구,고성로17,053-353-5526,퍼머,,20000,,변동없음,
64,1905-07,한식,갈비세상,이규근,서구,달서로179,053-551-9339,돼지갈비(200g),,7000,,변동없음,
65,1905-07,목욕업,봉천사우나,김지호,서구,달서로25길8,053-565-3829,목욕료,,5000,,변동없음,
66,1905-07,중식,덕성반점,채정환,서구,문화로49길5-1,053-555-6623,자장면,,2500,,변동없음,
67,1905-07,한식,쌍둥이정갈비,장선영,서구,국채보상로195,053-552-9716,돼지갈비(160g),,6000,,변동없음,
68,1905-07,이미용업,아란미용실,강순분,서구,통학로13길15,053-557-0890,퍼머,,25000,,변동없음,
69,1905-07,이미용업,성화미용실,김윤자,서구,달서로17길17  105호,053-561-0174,퍼머,,25000,,변동없음,
70,1905-07,중식,금성각,황명자,서구,당산로47길69일신a상가105,053-562-8877,자장면,,3000,,변동없음,
71,1905-07,한식,이모김밥,김병양,서구,달서로136-1,053-555-8807,된장찌개,,5000,,변동없음,
72,1905-07,한식,초원식당,김경순,서구,문화로47길6,053-521-3780,칼국수,,4000,,변동없음,
73,1905-07,한식,소백산식당,허영자,서구,북비산로160,053-553-2421,삼겹살(120g),,8000,,변동없음,
74,1905-07,중식,동화성,박희숙,서구,서대구로168,053-557-2525,자장면,,3500,,변동없음,
75,1905-07,이미용업,킴스미용실,김숙희,서구,국채보상로45길3,053-567-4046,커트,,8000,,변동없음,
76,1905-07,이미용업,소라미용실,권복남,서구,평리로83길5-1,053-551-2434,퍼머,,10000,,변동없음,
77,1905-07,이미용업,다모아헤어샾,김정희,서구,국채보상로56길16-17,,커트,,7000,,변동없음,
78,2018-04,이미용업,현대이용소,최용섭,서구,달서천로61길13 (비산동),,커트,,3000,,변동없음,
79,2011-11,중식,낙양성,우권택,남구,명덕로 40길 97-4,053-653-6815,자장면,,4000,,변동없음,
80,2011-11,한식,수목식당,김민자,남구,봉덕로 115,053-473-7085,칼국수,동태탕,5000,6000,변동없음,
